분류예측,분류확률
0,0.01
0,0.05
1,0.92
1,0.96
0,0.01
0,0.01
1,1.0
0,0.0
0,0.01
0,0.03
1,0.92
1,0.98
0,0.07
0,0.02
1,0.99
0,0.0
0,0.07
0,0.01
1,1.0
1,0.98
0,0.0
1,0.93
0,0.0
1,0.91
0,0.0
0,0.02
0,0.01
0,0.01
0,0.01
1,0.91
0,0.06
0,0.04
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.99
1,0.99
1,0.88
1,1.0
1,1.0
1,0.97
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.03
1,0.98
1,0.9
1,0.99
0,0.0
0,0.0
0,0.0
0,0.01
1,0.94
0,0.0
0,0.07
0,0.0
0,0.15
0,0.02
0,0.1
0,0.01
1,0.96
1,1.0
0,0.0
1,1.0
1,1.0
0,0.13
1,0.93
1,1.0
0,0.02
1,1.0
1,0.97
0,0.0
0,0.0
0,0.01
1,0.94
0,0.0
1,1.0
0,0.02
1,0.97
1,0.99
0,0.07
0,0.0
1,0.99
0,0.0
1,0.97
1,0.98
0,0.14
0,0.07
1,0.87
0,0.0
1,1.0
1,1.0
0,0.0
1,1.0
1,0.96
0,0.0
1,1.0
1,0.98
1,0.95
1,0.94
0,0.0
0,0.0
0,0.23
0,0.01
0,0.23
0,0.0
1,0.95
0,0.03
1,1.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.93
0,0.0
0,0.2
0,0.08
1,1.0
1,1.0
1,0.96
1,0.98
0,0.01
0,0.01
1,1.0
0,0.01
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
1,0.99
0,0.1
0,0.0
0,0.0
0,0.0
0,0.1
1,0.98
0,0.0
1,1.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.02
1,0.85
1,0.98
1,1.0
0,0.03
1,1.0
1,1.0
0,0.0
1,1.0
0,0.01
1,0.93
1,1.0
1,1.0
0,0.0
0,0.03
1,0.91
1,0.98
0,0.0
0,0.01
1,1.0
0,0.0
0,0.0
0,0.01
0,0.05
1,0.97
1,1.0
1,1.0
0,0.0
0,0.0
0,0.01
0,0.01
0,0.0
0,0.03
1,1.0
0,0.12
1,0.92
0,0.01
0,0.0
0,0.0
0,0.0
0,0.01
0,0.13
0,0.02
0,0.0
0,0.0
1,1.0
1,0.99
0,0.0
0,0.07
0,0.09
1,0.99
0,0.0
0,0.1
0,0.04
0,0.0
1,0.95
0,0.01
0,0.01
0,0.07
1,1.0
0,0.0
0,0.02
0,0.01
0,0.0
0,0.0
1,1.0
1,1.0
0,0.01
0,0.0
1,0.97
1,1.0
